"mesv","anov","id_dep","total_deputado"
8,2015,73793,10
9,2015,73793,14
10,2015,73793,9
11,2015,73793,6
12,2015,73793,2
2,2016,73793,4
3,2016,73793,10
4,2016,73793,1
5,2016,73793,3
6,2016,73793,5
7,2016,73793,3
8,2016,73793,4
10,2016,73793,7
11,2016,73793,4
12,2016,73793,5
2,2017,73793,4
3,2017,73793,1
4,2015,73805,9
5,2015,73805,9
6,2015,73805,7
7,2015,73805,3
8,2015,73805,10
9,2015,73805,13
10,2015,73805,5
11,2015,73805,7
12,2015,73805,1
2,2016,73805,5
3,2016,73805,7
5,2016,73805,2
6,2016,73805,4
7,2016,73805,2
8,2016,73805,5
10,2016,73805,3
2,2015,73808,3
3,2015,73808,11
4,2015,73808,5
5,2015,73808,11
6,2015,73808,4
7,2015,73808,4
8,2015,73808,8
9,2015,73808,10
10,2015,73808,9
11,2015,73808,7
12,2015,73808,1
2,2016,73808,4
3,2016,73808,5
4,2016,73808,3
5,2016,73808,5
6,2016,73808,2
7,2016,73808,1
8,2016,73808,4
10,2016,73808,5
11,2016,73808,4
12,2016,73808,5
2,2017,73808,2
3,2017,73808,3
2,2016,73831,6
3,2016,73831,8
4,2016,73831,4
5,2016,73831,2
8,2016,73831,1
10,2016,73831,4
11,2016,73831,6
12,2016,73831,6
2,2015,73891,6
3,2015,73891,10
4,2015,73891,10
5,2015,73891,10
6,2015,73891,7
7,2015,73891,4
8,2015,73891,10
9,2015,73891,12
10,2015,73891,10
11,2015,73891,6
12,2015,73891,1
2,2016,73891,6
3,2016,73891,9
4,2016,73891,4
5,2016,73891,5
6,2016,73891,7
7,2016,73891,3
8,2016,73891,5
10,2016,73891,5
11,2016,73891,6
12,2016,73891,5
2,2017,73891,4
3,2017,73891,3
2,2015,73926,4
3,2015,73926,7
4,2015,73926,8
5,2015,73926,3
6,2015,73926,7
7,2015,73926,1
10,2015,73926,2
11,2015,73926,4
12,2015,73926,1
2,2016,73926,6
3,2016,73926,5
4,2016,73926,2
5,2016,73926,2
6,2016,73926,6
7,2016,73926,2
8,2016,73926,4
10,2016,73926,6
11,2016,73926,5
12,2016,73926,2
2,2017,73926,1
3,2017,73926,2
2,2015,73930,2
3,2015,73930,9
8,2015,73930,3
2,2016,73930,3
3,2016,73930,3
4,2016,73930,2
5,2016,73930,3
6,2016,73930,3
7,2016,73930,1
8,2016,73930,3
10,2016,73930,2
11,2016,73930,4
12,2016,73930,3
2,2017,73930,1
3,2017,73930,1
2,2015,73931,3
3,2015,73931,11
4,2015,73931,9
5,2015,73931,11
6,2015,73931,7
7,2015,73931,4
8,2015,73931,9
9,2015,73931,12
10,2015,73931,9
11,2015,73931,7
12,2015,73931,2
2,2016,73931,5
3,2016,73931,9
4,2016,73931,4
5,2016,73931,5
6,2016,73931,6
7,2016,73931,2
8,2016,73931,4
10,2016,73931,7
11,2016,73931,6
12,2016,73931,5
2,2017,73931,4
3,2017,73931,2
2,2017,73992,4
3,2017,73992,3
2,2015,74010,6
3,2015,74010,10
4,2015,74010,10
5,2015,74010,8
6,2015,74010,7
7,2015,74010,4
8,2015,74010,9
9,2015,74010,12
10,2015,74010,5
11,2015,74010,7
12,2015,74010,2
2,2016,74010,6
3,2016,74010,11
4,2016,74010,3
5,2016,74010,5
6,2016,74010,6
7,2016,74010,2
8,2016,74010,3
10,2016,74010,7
11,2016,74010,5
12,2016,74010,5
2,2017,74010,4
3,2017,74010,3
2,2015,74017,3
3,2015,74017,9
4,2015,74017,10
5,2015,74017,8
6,2015,74017,7
7,2015,74017,4
8,2015,74017,10
9,2015,74017,13
10,2015,74017,8
11,2015,74017,7
12,2015,74017,2
2,2016,74017,6
3,2016,74017,9
4,2016,74017,3
5,2016,74017,5
6,2016,74017,5
7,2016,74017,3
8,2016,74017,5
10,2016,74017,4
11,2016,74017,5
12,2016,74017,6
2,2017,74017,4
3,2017,74017,3
2,2015,74040,5
3,2015,74040,11
4,2015,74040,10
5,2015,74040,11
6,2015,74040,5
7,2015,74040,4
8,2015,74040,10
9,2015,74040,12
10,2015,74040,9
11,2015,74040,7
12,2015,74040,2
2,2016,74040,5
3,2016,74040,9
4,2016,74040,2
5,2016,74040,3
6,2016,74040,6
7,2016,74040,1
8,2016,74040,4
10,2016,74040,6
11,2016,74040,4
12,2016,74040,4
2,2017,74040,3
3,2017,74040,2
2,2015,74041,5
3,2015,74041,12
4,2015,74041,10
5,2015,74041,11
6,2015,74041,7
7,2015,74041,4
8,2015,74041,10
9,2015,74041,14
10,2015,74041,10
11,2015,74041,7
12,2015,74041,2
2,2016,74041,6
3,2016,74041,11
4,2016,74041,4
5,2016,74041,5
6,2016,74041,7
7,2016,74041,3
8,2016,74041,5
10,2016,74041,7
11,2016,74041,6
12,2016,74041,6
2,2017,74041,4
3,2017,74041,3
2,2015,74043,2
3,2015,74043,9
4,2015,74043,7
5,2015,74043,11
6,2015,74043,4
7,2015,74043,4
8,2015,74043,10
9,2015,74043,9
10,2015,74043,7
11,2015,74043,6
12,2015,74043,2
2,2016,74043,6
3,2016,74043,3
4,2016,74043,1
5,2016,74043,5
6,2016,74043,4
7,2016,74043,2
8,2016,74043,4
10,2016,74043,5
11,2016,74043,5
12,2016,74043,2
2,2017,74043,3
3,2017,74043,3
2,2015,74048,2
3,2015,74048,8
4,2015,74048,8
5,2015,74048,8
6,2015,74048,6
7,2015,74048,4
8,2015,74048,10
9,2015,74048,11
10,2015,74048,7
11,2015,74048,7
12,2015,74048,1
2,2016,74048,5
3,2016,74048,10
4,2016,74048,4
5,2016,74048,2
2,2015,74050,3
3,2015,74050,3
4,2015,74050,7
5,2015,74050,10
6,2015,74050,7
7,2015,74050,4
8,2015,74050,9
9,2015,74050,9
10,2015,74050,8
11,2015,74050,5
12,2015,74050,2
2,2016,74050,6
3,2016,74050,7
4,2016,74050,3
5,2016,74050,2
7,2016,74052,1
8,2016,74052,4
10,2016,74052,6
11,2016,74052,2
2,2015,74057,5
3,2015,74057,12
4,2015,74057,10
5,2015,74057,8
6,2015,74057,7
7,2015,74057,4
8,2015,74057,9
9,2015,74057,14
10,2015,74057,10
11,2015,74057,7
12,2015,74057,2
2,2016,74057,5
3,2016,74057,10
4,2016,74057,4
5,2016,74057,5
6,2016,74057,5
7,2016,74057,3
8,2016,74057,3
10,2016,74057,6
11,2016,74057,6
12,2016,74057,6
2,2017,74057,4
3,2017,74057,2
2,2015,74060,4
3,2015,74060,10
4,2015,74060,9
5,2015,74060,11
6,2015,74060,7
7,2015,74060,4
8,2015,74060,9
9,2015,74060,12
10,2015,74060,10
11,2015,74060,7
12,2015,74060,2
2,2016,74060,5
3,2016,74060,9
4,2016,74060,3
5,2016,74060,5
6,2016,74060,5
7,2016,74060,2
8,2016,74060,5
10,2016,74060,6
11,2016,74060,6
12,2016,74060,6
2,2017,74060,4
3,2017,74060,2
2,2015,74075,5
3,2015,74075,7
4,2015,74075,5
5,2015,74075,10
6,2015,74075,4
7,2015,74075,4
8,2015,74075,4
