congressperson_name,civil_name,congressperson_id,state,twitter_profile,secondary_twitter_profile,facebook_page
ROBERTO GÓES,ANTONIO ROBERTO RODRIGUES GÓES DA SILVA,178995,AP,dep_RobertoGoes ‏,,https://www.facebook.com/RobertoGoesAmapa/
SEBASTIÃO BALA ROCHA,,141539,AP,balarocha,,https://www.facebook.com/deputadobalarocha/
VINICIUS GURGEL,VINICIUS DE AZEVEDO GURGEL,160591,AP,vinicius2828,,https://www.facebook.com/deputadoviniciusgurgel
ACELINO POPÓ,,161907,BA,popofreitas,,https://www.facebook.com/PopoFreitas
AFONSO FLORENCE,AFONSO BANDEIRA FLORENCE,160508,BA,AfonsoFlorence ‏,,https://www.facebook.com/afonsoflorence13
ALICE PORTUGAL,ALICE MAZZUCO PORTUGAL,74057,BA,Alice_Portugal,,https://www.facebook.com/deputadaaliceportugal
AMAURI TEIXEIRA,,160603,BA,deputadoamauri,,https://www.facebook.com/AmauriTeixeira13
ANTONIO BRITO,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,160553,BA,antoniobritoba,,https://www.facebook.com/britoantoniobahia
ANTONIO CARLOS MAGALHÃES NETO,,74058,BA,acm_neto,,https://www.facebook.com/ACMNetoOficial
ANTONIO IMBASSAHY,,160530,BA,Dep_Imbassahy,,https://www.facebook.com/antonio.imbassahy
ARTHUR OLIVEIRA MAIA,ARTHUR DE OLIVEIRA MAIA DA SILVA,160600,BA,departhurmaia,,https://www.facebook.com/arthur.oliveiramaia
BACELAR,JOAO CARLOS BACELAR BATISTA,69871,BA,DeputadoBacelar,,https://www.facebook.com/bacelaroficial/
BEBETO,ADALBERTO SOUZA GALVÃO,178834,BA,deputadobebeto,,https://www.facebook.com/bebetogalvao/
BENITO GAMA,BENITO DA GAMA SANTOS,74535,BA,benitogama,,https://www.facebook.com/BenitoGamaOficial/
CACÁ LEÃO,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,93083,BA,CacaLeao ‏,,https://www.facebook.com/CacaLeaoOficial/
CAETANO,LUIZ CARLOS CAETANO,178853,BA,DepCaetano ‏,,https://www.facebook.com/luiz.caetanoBA/
CLAUDIO CAJADO,CLÁUDIO CAJADO SAMPAIO,74537,BA,claudio_cajado,,https://www.facebook.com/deputadocajado/
DANIEL ALMEIDA,DANIEL GOMES DE ALMEIDA,74060,BA,Daniel_PCdoB ‏,,https://www.facebook.com/depdanielalmeida
DAVIDSON MAGALHÃES,DAVIDSON DE MAGALHÃES SANTOS,101309,BA,Davidson65,,https://www.facebook.com/davidson65/
EDSON PIMENTA,,160618,BA,EdsonPimenta,,https://www.facebook.com/EdsonPimentaBahia
ELMAR NASCIMENTO,ELMAR JOSE VIEIRA NASCIMENTO,178854,BA,ElmarNascimento,,https://www.facebook.com/elmarnascimento/
EMILIANO JOSÉ,,154997,BA,emiliano_jose,,https://www.facebook.com/emiliano.jose.73
ERIVELTON SANTANA,ERIVELTON LIMA SANTANA,99654,BA,dep_erivelton,,https://www.facebook.com/erivelton.santana.560
FÁBIO SOUTO,,74062,BA,Fabio_Souto,,https://www.facebook.com/FabioSoutoOficial/
FÉLIX MENDONÇA JÚNIOR,FELIX DE ALMEIDA MENDONÇA JÚNIOR,160666,BA,felixMendoncaJr,,https://www.facebook.com/felixjunior1234/?ref=br_rs
GERALDO SIMÕES,,74566,BA,geraldo1330,,https://www.facebook.com/geraldosimoespt/?ref=br_rs
IRMÃO LAZARO,ANTONIO LAZARO SILVA,178855,BA,irmaolazaro,,https://pt-br.facebook.com/deputadofederalirmaolazaro/
JORGE SOLLA,JORGE JOSE SANTOS PEREIRA SOLLA,178857,BA,depjorgesolla,,https://www.facebook.com/depjorgesolla/?ref=br_rs
JOSIAS GOMES,,74141,BA,josiasgomesba,,https://www.facebook.com/josiasgomes1312
JOSÉ CARLOS ALELUIA,JOSÉ CARLOS ALELUIA COSTA,74553,BA,aleluiacosta,,https://www.facebook.com/josecarlosaleluia/?ref=br_rs
JOSÉ CARLOS ARAÚJO,JOSÉ CARLOS LEÃO DE ARAÚJO,74140,BA,depjosecarlos,,https://www.facebook.com/deputadojosecarlosaraujo
JOSÉ NUNES,JOSÉ NUNES SOARES,160619,BA,JoseNunesDep,,https://www.facebook.com/deputadojosenunes/?ref=br_rs
JOSÉ ROCHA,JOSÉ ALVES ROCHA,74554,BA,joserocha_,,https://www.facebook.com/dep.joserocha
JOÃO CARLOS BACELAR,JOÃO CARLOS PAOLILO BACELAR FILHO,141458,BA,deputadobacelar,,https://www.facebook.com/joaobacelar2288
JOÃO GUALBERTO,JOAO GUALBERTO VASCONCELOS,178856,BA,NAO ENCONTRADO,,https://www.facebook.com/JoaoGualbertoOficial/?ref=br_rs
JUTAHY JUNIOR,JUTAHY MAGALHÃES JÚNIOR,74570,BA,NAO ENCONTRADO,,https://www.facebook.com/deputadojutahy
JÂNIO NATAL,,160675,BA,janionatal,,https://www.facebook.com/janionatal/
LUCIO VIEIRA LIMA,LÚCIO QUADROS VIEIRA LIMA,94931,BA,luciovl_,,https://www.facebook.com/lucio.vieiralima.1
LUIZ ALBERTO,,74133,BA,depluizalberto,,https://www.facebook.com/deputadoluizalberto
MAURÍCIO TRINDADE,,141506,BA,depmt,,https://www.facebook.com/mauricio.trindadesecretario/
MÁRCIO MARINHO,MÁRCIO CARLOS MARINHO,150418,BA,dpmarciomarinho,,https://www.facebook.com/marciomarinhopolitico/
MÁRIO NEGROMONTE JR.,MARIO SILVIO MENDES NEGROMONTE JUNIOR,178858,BA,depnegromontejr,,https://www.facebook.com/mario.negromontejunior
NELSON PELLEGRINO,NELSON VICENTE PORTELA PELLEGRINO,74571,BA,nelsonpelegrino,,https://www.facebook.com/nelsonpelegrino/
OZIEL OLIVEIRA,,160650,BA,deputadooziel ,,https://www.facebook.com/oziel.oliveira.718/
PASTOR LUCIANO BRAGA,LUCIANO FRED BRAGA PENHA,193982,BA,prlucianobraga,,https://www.facebook.com/deputadoprlucianobraga/
PAULO AZI,PAULO VELLOSO DANTAS AZI,178860,BA,pauloazi,,https://www.facebook.com/galera.2526
PAULO MAGALHÃES,PAULO SÉRGIO PARANHOS DE MAGALHÃES,74574,BA,paulo_psd,,https://www.facebook.com/paulomagalhaesjr/
ROBERTO BRITTO,ROBERTO PEREIRA DE BRITTO,141529,BA,robertobritto11,,https://www.facebook.com/robertopereirabritto/
