"idecadastro","nomeParlamentar","urlFoto"
74650,"BONIFÁCIO DE ANDRADA","http://www.camara.gov.br/internet/deputado/bandep/74650.jpg"
160589,"BRUNA FURLAN","http://www.camara.gov.br/internet/deputado/bandep/160589.jpg"
178999,"BRUNNY","http://www.camara.gov.br/internet/deputado/bandep/178999.jpg"
141394,NA,NA
178976,NA,NA
141393,NA,NA
178938,"CABO DACIOLO","http://www.camara.gov.br/internet/deputado/bandep/178938.jpg"
178865,"CABO SABINO","http://www.camara.gov.br/internet/deputado/bandep/178865.jpg"
105112,"CABUÇU BORGES","http://www.camara.gov.br/internet/deputado/bandep/105112.jpg"
93083,"CACÁ LEÃO","http://www.camara.gov.br/internet/deputado/bandep/93083.jpg"
178853,"CAETANO","http://www.camara.gov.br/internet/deputado/bandep/178853.jpg"
178891,"CAIO NARCIO","http://www.camara.gov.br/internet/deputado/bandep/178891.jpg"
141395,NA,NA
141396,NA,NA
178829,"CAPITÃO AUGUSTO","http://www.camara.gov.br/internet/deputado/bandep/178829.jpg"
178924,NA,NA
74290,NA,NA
178958,"CARLOS ANDRADE","http://www.camara.gov.br/internet/deputado/bandep/178958.jpg"
141401,"CARLOS BEZERRA","http://www.camara.gov.br/internet/deputado/bandep/141401.jpg"
74474,"CARLOS EDUARDO CADOCA","http://www.camara.gov.br/internet/deputado/bandep/74474.jpg"
178962,"CARLOS GOMES","http://www.camara.gov.br/internet/deputado/bandep/178962.jpg"
178993,"CARLOS HENRIQUE GAGUIM","http://www.camara.gov.br/internet/deputado/bandep/178993.jpg"
160605,NA,NA
74163,"CARLOS MANATO","http://www.camara.gov.br/internet/deputado/bandep/74163.jpg"
179381,NA,NA
178900,"CARLOS MARUN","http://www.camara.gov.br/internet/deputado/bandep/178900.jpg"
74651,"CARLOS MELLES","http://www.camara.gov.br/internet/deputado/bandep/74651.jpg"
74262,"CARLOS SAMPAIO","http://www.camara.gov.br/internet/deputado/bandep/74262.jpg"
141398,"CARLOS ZARATTINI","http://www.camara.gov.br/internet/deputado/bandep/141398.jpg"
164360,"CARMEN ZANOTTO","http://www.camara.gov.br/internet/deputado/bandep/164360.jpg"
178876,"CÉLIO SILVEIRA","http://www.camara.gov.br/internet/deputado/bandep/178876.jpg"
73568,"CELSO JACOB","http://www.camara.gov.br/internet/deputado/bandep/73568.jpg"
141405,"CELSO MALDANER","http://www.camara.gov.br/internet/deputado/bandep/141405.jpg"
72912,"CELSO PANSERA","http://www.camara.gov.br/internet/deputado/bandep/72912.jpg"
73441,"CELSO RUSSOMANNO","http://www.camara.gov.br/internet/deputado/bandep/73441.jpg"
160576,"CÉSAR HALUM","http://www.camara.gov.br/internet/deputado/bandep/160576.jpg"
178838,"CÉSAR MESSIAS","http://www.camara.gov.br/internet/deputado/bandep/178838.jpg"
73720,"CESAR SOUZA","http://www.camara.gov.br/internet/deputado/bandep/73720.jpg"
74379,NA,NA
74171,"CHICO ALENCAR","http://www.camara.gov.br/internet/deputado/bandep/74171.jpg"
141439,"CHICO D'ANGELO","http://www.camara.gov.br/internet/deputado/bandep/141439.jpg"
160634,NA,NA
141440,"CHICO LOPES","http://www.camara.gov.br/internet/deputado/bandep/141440.jpg"
178928,"CHRISTIANE DE SOUZA YARED","http://www.camara.gov.br/internet/deputado/bandep/178928.jpg"
178841,"CÍCERO ALMEIDA","http://www.camara.gov.br/internet/deputado/bandep/178841.jpg"
178939,NA,NA
74537,"CLAUDIO CAJADO","http://www.camara.gov.br/internet/deputado/bandep/74537.jpg"
160557,NA,NA
141408,"CLEBER VERDE","http://www.camara.gov.br/internet/deputado/bandep/141408.jpg"
178848,"CONCEIÇÃO SAMPAIO","http://www.camara.gov.br/internet/deputado/bandep/178848.jpg"
178963,"COVATTI FILHO","http://www.camara.gov.br/internet/deputado/bandep/178963.jpg"
93472,"CRISTIANE BRASIL","http://www.camara.gov.br/internet/deputado/bandep/93472.jpg"
141411,"DAGOBERTO NOGUEIRA","http://www.camara.gov.br/internet/deputado/bandep/141411.jpg"
141502,NA,NA
74467,"DAMIÃO FELICIANO","http://www.camara.gov.br/internet/deputado/bandep/74467.jpg"
178892,"DÂMINA PEREIRA","http://www.camara.gov.br/internet/deputado/bandep/178892.jpg"
74060,"DANIEL ALMEIDA","http://www.camara.gov.br/internet/deputado/bandep/74060.jpg"
178916,"DANIEL COELHO","http://www.camara.gov.br/internet/deputado/bandep/178916.jpg"
